date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:09	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-50d3d2535c400%22	http://localhost/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.3.0	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/font-awesome/fonts/fontawesome-webfonte0a5.svg	(from http://localhost/lib/font-awesome/css/font-awesome.css)
22:25:11	56780/56780	---M--	200	added ('OK')	font/woff2	etag:%22ddcc-50d3d2535c400%22	http://localhost/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/font-awesome/fonts/fontawesome-webfonte0a5.woff2	(from http://localhost/lib/font-awesome/css/font-awesome.css)
22:25:11	2537/2537	---M--	200	added ('OK')	text/css	etag:%229e9-519598d012700%22	http://localhost/lib/bootstrap/css/carousel.css	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/css/carousel.css	(from http://localhost/statistikk.php)
22:25:12	1748/1748	---M--	200	added ('OK')	application/javascript	etag:%226d4-5207aeecc0400%22	http://localhost/statistikk/orkester.js	C:/Users/Stian/Downloads/SMASH%202017/localhost/statistikk/orkester.js	(from http://localhost/statistikk.php)
22:25:12	1418/1418	---M--	200	added ('OK')	application/javascript	etag:%2258a-5207af40aca00%22	http://localhost/statistikk/instrument.js	C:/Users/Stian/Downloads/SMASH%202017/localhost/statistikk/instrument.js	(from http://localhost/statistikk.php)
22:25:13	523/523	---M--	200	added ('OK')	application/javascript	etag:%2220b-5207b01093480%22	http://localhost/statistikk/kjonn.js	C:/Users/Stian/Downloads/SMASH%202017/localhost/statistikk/kjonn.js	(from http://localhost/statistikk.php)
22:25:13	474/474	---M--	200	added ('OK')	application/javascript	etag:%221da-52004c627ac00%22	http://localhost/statistikk/revy.js	C:/Users/Stian/Downloads/SMASH%202017/localhost/statistikk/revy.js	(from http://localhost/statistikk.php)
22:25:14	71508/71508	---M--	200	added ('OK')	font/woff	etag:%2211754-50d3d2535c400%22	http://localhost/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.3.0	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/font-awesome/fonts/fontawesome-webfonte0a5.woff	(from http://localhost/lib/font-awesome/css/font-awesome.css)
22:25:28	122092/122092	---M--	200	added ('OK')	font/ttf	etag:%221dcec-50d3d2535c400%22	http://localhost/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/font-awesome/fonts/fontawesome-webfonte0a5.ttf	(from http://localhost/lib/font-awesome/css/font-awesome.css)
22:25:35	135015/135015	---M--	200	added ('OK')	image/jpeg	etag:%2220f67-551b41290dcc0%22	http://localhost/img/buttons/Button-2017,Bergen.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2017,Bergen.jpg	(from http://localhost/bilder_buttons.php)
